timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703022812089,63130,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-928,text,false,,3042,0,663,663,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=r,0,0,63130
1703022875220,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-928,text,false,,2244,0,663,663,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=r,0,0,0
1703022812152,63115,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-929,text,false,,3042,0,662,662,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=s,0,0,63115
1703022875280,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-929,text,false,,2244,0,662,662,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=s,0,0,0
1703022812215,63116,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-930,text,false,,3042,0,661,661,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=t,0,0,63116
1703022875332,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-930,text,false,,2244,0,661,661,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=t,0,0,0
1703022812280,63100,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-931,text,false,,3042,0,660,660,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=u,0,0,63100
1703022875380,1,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-931,text,false,,2244,0,660,660,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=u,0,0,1
1703022812327,63116,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-932,text,false,,3042,0,659,659,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=v,0,0,63115
1703022875443,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-932,text,false,,2244,0,659,659,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=v,0,0,0
1703022812389,63102,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-933,text,false,,3042,0,658,658,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=w,0,0,63102
1703022875491,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-933,text,false,,2244,0,658,658,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=w,0,0,0
1703022812453,63101,suggestions searches,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to search.biggylabs.com.br:443 [search.biggylabs.com.br/18.208.6.94, search.biggylabs.com.br/52.21.136.201, search.biggylabs.com.br/3.214.75.62] failed: Connection timed out: connect",search sugestions and products 1-934,text,false,,3042,0,657,657,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_searches?term=x,0,0,63101
1703022875554,0,suggestion products,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: search.biggylabs.com.br,search sugestions and products 1-934,text,false,,2244,0,657,657,https://search.biggylabs.com.br/search-api/v1/oechsle/autocomplete/suggestion_products?term=x,0,0,0
